
Episode 168: steps = 16, reward = 100, avg_plan_time = 0.03205853437676149, avg_dist = 0.14758048934927478
Episode 169: steps = 199, reward = 0, avg_plan_time = 0.03444871354848147, avg_dist = 0.04112799981868909
Episode 170: steps = 199, reward = 0, avg_plan_time = 0.033464462086558344, avg_dist = 0.036559156785544486
Episode 171: steps = 199, reward = 0, avg_plan_time = 0.033225721111521125, avg_dist = 0.06356851141176284
Episode 172: steps = 199, reward = 0, avg_plan_time = 0.034841527407988904, avg_dist = 0.04434967167642819
Episode 173: steps = 20, reward = 100, avg_plan_time = 0.03721935896291619, avg_dist = 0.13002057456805574
Episode 174: steps = 16, reward = 100, avg_plan_time = 0.03483428707455888, avg_dist = 0.15981896282018063
Episode 175: steps = 23, reward = 100, avg_plan_time = 0.030743502468491595, avg_dist = 0.12127709675155646
Episode 176: steps = 21, reward = 100, avg_plan_time = 0.03256230725144798, avg_dist = 0.1196886590610739
Episode 177: steps = 33, reward = 100, avg_plan_time = 0.02931519877165556, avg_dist = 0.16265634413113872
Episode 178: steps = 19, reward = 100, avg_plan_time = 0.03262714073061943, avg_dist = 0.08024160200284271
Episode 179: steps = 18, reward = 100, avg_plan_time = 0.03375158782460188, avg_dist = 0.10552455526071466
Episode 180: steps = 15, reward = 100, avg_plan_time = 0.033889545942656696, avg_dist = 0.11033991799088866
Episode 181: steps = 26, reward = 100, avg_plan_time = 0.03719255314381034, avg_dist = 0.09740212573882231
Episode 182: steps = 199, reward = 0, avg_plan_time = 0.03285517640411854, avg_dist = 0.034062347469117626
Episode 183: steps = 17, reward = 100, avg_plan_time = 0.028012377623882558, avg_dist = 0.09570231555789266
Episode 184: steps = 199, reward = 0, avg_plan_time = 0.03535869407467544, avg_dist = 0.043871720179958065
Episode 185: steps = 15, reward = 100, avg_plan_time = 0.03328522061929107, avg_dist = 0.10753789928697466
Episode 186: steps = 21, reward = 100, avg_plan_time = 0.03237658358094367, avg_dist = 0.08076190765198059
Episode 187: steps = 25, reward = 100, avg_plan_time = 0.037986364788733996, avg_dist = 0.10893967247754326
Episode 188: steps = 199, reward = 0, avg_plan_time = 0.03371499246917665, avg_dist = 0.03727288696026886
Episode 189: steps = 19, reward = 100, avg_plan_time = 0.030524095054715872, avg_dist = 0.10177579170644797
Episode 190: steps = 18, reward = 100, avg_plan_time = 0.03557738004938552, avg_dist = 0.08230812150910345
